Content Description	ScOT ID	ScOT Label
AC9E8LA07	4585	Viewing
AC9E8LA07	7195	Intertextuality
AC9E8LA08	3998	Word meanings
AC9E8LA09	1412	Punctuation
AC9E8LA09	4821	Dashes
AC9E8LA09	8591	Semicolons
AC9E8LE01	11197	Regional literature
AC9E8LE01	1164	Narratives
AC9E8LE01	307	Aboriginal English literature
AC9E8LE01	308	Literature
AC9E8LE02	1023	Literary devices
AC9E8LE02	1164	Narratives
AC9E8LE02	1404	Attitudes
AC9E8LE02	3467	Text structure
AC9E8LE02	9310	Language conventions
AC9E8LE03	1023	Literary devices
AC9E8LE03	1404	Attitudes
AC9E8LE03	2735	Images (Texts)
AC9E8LE03	3467	Text structure
AC9E8LE03	9310	Language conventions
AC9E8LE04	273	Culture
AC9E8LE04	7195	Intertextuality
AC9E8LE04	747	Literary criticism
AC9E8LE05	1023	Literary devices
AC9E8LE05	4158	Sentences (Grammar)
AC9E8LE05	7026	Imaginative texts
AC9E8LE05	9310	Language conventions
AC9E8LE06	1023	Literary devices
AC9E8LE06	3170	Editing
AC9E8LE06	3467	Text structure
AC9E8LE06	4161	Creating texts
AC9E8LE06	7026	Imaginative texts
AC9E8LY01	13856	Text purpose
AC9E8LY01	16927	Text audience
AC9E8LY01	4372	Social settings (Narratives)
AC9E8LY01	5991	Texts
AC9E8LY02	16935	Text meaning
AC9E8LY02	7201	Speaking
AC9E8LY02	987	Social relations
AC9E8LY03	13856	Text purpose
AC9E8LY03	4586	Critical thinking
AC9E8LY03	9310	Language conventions
AC9E8LY04	16935	Text meaning
AC9E8LY04	1925	Literary styles
AC9E8LY04	3467	Text structure
AC9E8LY04	5991	Texts
AC9E8LY05	1055	Reading
AC9E8LY05	3467	Text structure
AC9E8LY05	5991	Texts
AC9E8LY06	3170	Editing
AC9E8LY06	4161	Creating texts
AC9E8LY06	9310	Language conventions
AC9E8LY07	7201	Speaking
AC9E8LY07	7416	Oral presentations
AC9E8LY08	13072	Word formation
AC9E8LY08	8935	Spelling
AC9E9LA01	4411	Conversations
AC9E9LA01	9310	Language conventions
AC9E9LA01	987	Social relations
AC9E9LA02	1023	Literary devices
AC9E9LA02	1404	Attitudes
AC9E9LA04	13856	Text purpose
AC9E9LA04	3467	Text structure
AC9E9LA04	4295	Conjunctions
AC9E9LA04	5991	Texts
AC9E9LA04	9310	Language conventions
AC9E9LA05	3274	Grammar
AC9E9LA05	4158	Sentences (Grammar)
AC9E9LA06	15094	Nominalisation
AC9E9LA06	3275	Nouns
AC9E9LA07	1660	Symbols
AC9E9LA07	16935	Text meaning
AC9E9LA07	2735	Images (Texts)
AC9E9LA08	13037	Register (Language)
AC9E9LA08	3998	Word meanings
AC9E9LA08	7553	Mood (Literary style)
AC9E9LA08	7554	Literary tone
AC9E9LA09	13037	Register (Language)
AC9E9LA09	13088	Referencing
AC9E9LA09	1412	Punctuation
AC9E9LE01	11197	Regional literature
AC9E9LE01	1164	Narratives
AC9E9LE01	307	Aboriginal English literature
AC9E9LE01	308	Literature
AC9E9LE02	1164	Narratives
AC9E9LE02	2354	Emotions
AC9E9LE03	1023	Literary devices
AC9E9LE03	1164	Narratives
AC9E9LE03	1404	Attitudes
AC9E9LE03	9310	Language conventions
AC9E9LE04	1404	Attitudes
AC9E9LE04	1925	Literary styles
AC9E9LE04	273	Culture
AC9E9LE04	747	Literary criticism
AC9E9LE05	1023	Literary devices
AC9E9LE05	3467	Text structure
AC9E9LE05	747	Literary criticism
AC9E9LE05	9310	Language conventions
AC9E9LE06	1023	Literary devices
AC9E9LE06	3170	Editing
AC9E9LE06	3467	Text structure
AC9E9LE06	4161	Creating texts
AC9E9LE06	7026	Imaginative texts
AC9E9LY01	13037	Register (Language)
AC9E9LY01	273	Culture
AC9E9LY01	4370	Cultural contexts
AC9E9LY02	13856	Text purpose
AC9E9LY02	16927	Text audience
AC9E9LY02	16935	Text meaning
AC9E9LY02	7201	Speaking
AC9E9LY02	9310	Language conventions
AC9E9LY02	987	Social relations
AC9E9LY03	13856	Text purpose
AC9E9LY03	1404	Attitudes
AC9E9LY03	9310	Language conventions
AC9E9LY04	16935	Text meaning
AC9E9LY04	3467	Text structure
AC9E9LY05	1054	Reading comprehension
AC9E9LY05	3467	Text structure
AC9E9LY05	5991	Texts
AC9E9LY06	3170	Editing
AC9E9LY06	4161	Creating texts
AC9E9LY06	9310	Language conventions
AC9E9LY07	7201	Speaking
AC9E9LY07	7416	Oral presentations
AC9E9LY08	13072	Word formation
AC9E9LY08	8935	Spelling
AC9EFLA01	10769	Language acquisition
AC9EFLA01	15097	Language usage
AC9EFLA01	987	Social relations
AC9EFLA02	10770	Lateral dominance
AC9EFLA02	1404	Attitudes
AC9EFLA02	15097	Language usage
AC9EFLA03	13856	Text purpose
AC9EFLA03	3467	Text structure
AC9EFLA03	5991	Texts
AC9EFLA04	24	Cohesion (Language)
AC9EFLA04	3467	Text structure
AC9EFLA05	4158	Sentences (Grammar)
AC9EFLA05	8807	Touch
AC9EFLA06	4159	Composing (Music)
AC9EFLA06	8807	Touch
AC9EFLA07	1164	Narratives
AC9EFLA07	1340	Informative texts
AC9EFLA07	2735	Images (Texts)
AC9EFLA07	3653	Picture books
AC9EFLA08	650	Words
AC9EFLA08	7442	Vocabularies
AC9EFLA09	1412	Punctuation
AC9EFLA09	3273	Capitalisation
AC9EFLA09	6446	Full stops
AC9EFLE01	307	Aboriginal English literature
AC9EFLE01	11197	Regional literature
AC9EFLE01	1164	Narratives
AC9EFLE01	308	Literature
AC9EFLE02	1164	Narratives
AC9EFLE02	1520	Characters (Narratives)
AC9EFLE02	308	Literature
AC9EFLE02	3867	Plots (Stories)
AC9EFLE03	1164	Narratives
AC9EFLE03	1520	Characters (Narratives)
AC9EFLE03	308	Literature
AC9EFLE03	3867	Plots (Stories)
AC9EFLE04	12132	Rhyme
AC9EFLE04	354	Poetry
AC9EFLE04	6997	Metre (Poetry)
AC9EFLE05	1121	Play (Recreation)
AC9EFLE05	7026	Imaginative texts
AC9EFLE05	4161	Creating texts
AC9EFLY01	7026	Imaginative texts
AC9EFLY01	1164	Narratives
AC9EFLY01	1340	Informative texts
AC9EFLY01	13856	Text purpose
AC9EFLY02	4411	Conversations
AC9EFLY02	15097	Language usage
AC9EFLY02	7201	Speaking
AC9EFLY02	987	Social relations
AC9EFLY03	13856	Text purpose
AC9EFLY03	3467	Text structure
AC9EFLY03	5991	Texts
AC9EFLY04	13067	Phonemes
AC9EFLY04	1055	Reading
AC9EFLY05	1055	Reading
AC9EFLY06	9310	Language conventions
AC9EFLY06	3170	Editing
AC9EFLY06	4161	Creating texts
AC9EFLY07	7201	Speaking
AC9EFLY07	7416	Oral presentations
AC9EFLY08	3081	Handwriting
AC9EFLY09	13067	Phonemes
AC9EFLY09	7201	Speaking
AC9EFLY10	13067	Phonemes
AC9EFLY10	7201	Speaking
AC9EFLY11	13067	Phonemes
AC9EFLY12	13067	Phonemes
AC9EFLY12	8935	Spelling
AC9EFLY13	13067	Phonemes
AC9EFLY13	7962	Word stems
AC9EFLY14	13067	Phonemes
AC9EFLY14	8935	Spelling
AC9EFLY15	13067	Phonemes
AC9HC10K01	1404	Attitudes
AC9HC10K01	4939	Political systems
AC9HC10K01	5587	Politics
AC9HC10K01	786	Beliefs
AC9HC10K02	2422	International aid
AC9HC10K02	3796	International law
AC9HC10K02	8323	Peacekeeping
AC9HC10K03	3047	Parliaments
AC9HC10K03	3793	Constitutional law
AC9HC10K03	4529	Legal precedent
AC9HC10K03	4533	Courts
AC9HC10K04	13164	Aboriginal and Torres Strait Islander peoples
AC9HC10K04	3796	International law
AC9HC10K04	4923	Government policy
AC9HC10K04	658	Law
AC9HC10K05	11030	Political corruption
AC9HC10K05	11625	Organised crime
AC9HC10K05	1500	Conflict resolution
AC9HC10K05	3167	Democracy
AC9HC10K05	590	Direct action
AC9HC10K05	7284	Role of the press
AC9HC10S01	10745	Inquiry-based learning
AC9HC10S01	15059	Research questions
AC9HC10S02	4827	Evaluation
AC9HC10S02	4828	Data collection
AC9HC10S02	7111	Information literacy
AC9HC10S03	1404	Attitudes
AC9HC10S03	4586	Critical thinking
AC9HC10S03	4827	Evaluation
AC9HC10S03	786	Beliefs
AC9HC10S04	1404	Attitudes
AC9HC10S04	4586	Critical thinking
AC9HC10S04	4827	Evaluation
AC9HC10S04	786	Beliefs
AC9HC10S05	12259	Consensus
AC9HC10S05	16627	Action projects
AC9HC10S05	4115	Community development
AC9HC10S05	4587	Decision making
AC9HC10S05	4827	Evaluation
AC9HC10S05	576	Active citizenship
AC9HC10S06	13088	Referencing
AC9HC10S06	1656	Data representation
AC9HC10S06	3998	Word meanings
AC9HC10S06	4161	Creating texts
AC9HC7K01	2427	Constitutions
AC9HC7K01	3167	Democracy
AC9HC7K01	8489	Separation of powers
AC9HC7K02	3167	Democracy
AC9HC7K02	3784	Civil rights
AC9HC7K02	3802	Freedom of speech
AC9HC7K03	2427	Constitutions
AC9HC7K03	4537	Jurisdiction
AC9HC7K03	658	Law
AC9HC7K03	7291	Judiciary
AC9HC7K04	11032	Religious faiths
AC9HC7K04	13164	Aboriginal and Torres Strait Islander peoples
AC9HC7K04	2359	Secular belief systems
AC9HC7K04	3167	Democracy
AC9HC7K04	472	Multiculturalism
AC9HC7K05	3167	Democracy
AC9HC7K05	3655	Human rights
AC9HC7K05	3784	Civil rights
AC9HC7K05	4941	Social equality
AC9HC7K05	580	Civic responsibility
AC9HC7S01	10745	Inquiry-based learning
AC9HC7S01	15059	Research questions
AC9HC7S02	4827	Evaluation
AC9HC7S02	4828	Data collection
AC9HC7S02	7111	Information literacy
AC9HC7S03	1404	Attitudes
AC9HC7S03	4586	Critical thinking
AC9HC7S03	7111	Information literacy
AC9HC7S03	786	Beliefs
AC9HC7S04	1404	Attitudes
AC9HC7S04	4586	Critical thinking
AC9HC7S04	786	Beliefs
AC9HC7S05	12259	Consensus
AC9HC7S05	16627	Action projects
AC9HC7S05	4115	Community development
AC9HC7S05	4587	Decision making
AC9HC7S05	576	Active citizenship
AC9HC7S05	7608	Reasoning
AC9HC7S06	13088	Referencing
AC9HC7S06	1656	Data representation
AC9HC7S06	3998	Word meanings
AC9HC7S06	4161	Creating texts
AC9HC8K01	3167	Democracy
AC9HC8K01	3804	Voting rights
AC9HC8K01	576	Active citizenship
AC9HC8K01	589	Activism
AC9HC8K01	590	Direct action
AC9HC8K02	2022	Political parties
AC9HC8K02	3167	Democracy
AC9HC8K02	5582	Elections
AC9HC8K02	5587	Politics
AC9HC8K03	3277	Common law
AC9HC8K03	4529	Legal precedent
AC9HC8K03	618	Legislation
AC9HC8K03	658	Law
AC9HC8K04	2888	Civil law
AC9HC8K04	331	Customary law
AC9HC8K04	3795	Criminal law
AC9HC8K04	658	Law
AC9HC8K05	11032	Religious faiths
AC9HC8K05	13164	Aboriginal and Torres Strait Islander peoples
AC9HC8K05	276	Australian culture
AC9HC8K05	362	Personal identity
AC9HC8K05	576	Active citizenship
AC9HC8K06	13164	Aboriginal and Torres Strait Islander peoples
AC9HC8K06	2032	National identity
AC9HC8K06	472	Multiculturalism
AC9HC8K06	579	Citizenship
AC9HC8S01	10745	Inquiry-based learning
AC9HC8S01	15059	Research questions
AC9HC8S02	4827	Evaluation
AC9HC8S02	4828	Data collection
AC9HC8S02	7111	Information literacy
AC9HC8S03	1404	Attitudes
AC9HC8S03	4586	Critical thinking
AC9HC8S03	7111	Information literacy
AC9HC8S03	786	Beliefs
AC9HC8S04	1404	Attitudes
AC9HC8S04	4586	Critical thinking
AC9HC8S04	786	Beliefs
AC9HC8S05	12259	Consensus
AC9HC8S05	16627	Action projects
AC9HC8S05	4115	Community development
AC9HC8S05	4587	Decision making
AC9HC8S05	576	Active citizenship
AC9HC8S05	7608	Reasoning
AC9HC8S06	13088	Referencing
AC9HC8S06	1656	Data representation
AC9HC8S06	3998	Word meanings
AC9HC8S06	4161	Creating texts
AC9HC9K01	2427	Constitutions
AC9HC9K01	3793	Constitutional law
AC9HC9K01	4333	Referenda
AC9HC9K01	8489	Separation of powers
AC9HC9K02	4923	Government policy
AC9HC9K02	616	Parliamentary procedures
AC9HC9K02	618	Legislation
AC9HC9K03	3277	Common law
AC9HC9K03	4528	Court procedures
AC9HC9K03	4537	Jurisdiction
AC9HC9K03	658	Law
AC9HC9K04	2256	Lawyers
AC9HC9K04	3797	Legal equality
AC9HC9K04	4533	Courts
AC9HC9K04	4536	Juries
AC9HC9K04	7291	Judiciary
AC9HC9K05	11032	Religious faiths
AC9HC9K05	264	Communities
AC9HC9K05	351	Minority groups
AC9HC9K05	3779	Global citizenship
AC9HC9K05	576	Active citizenship
AC9HC9K05	580	Civic responsibility
AC9HC9K06	16484	Social media
AC9HC9K06	2032	National identity
AC9HC9K06	362	Personal identity
AC9HC9K06	4661	Cultural diversity
AC9HC9K06	7813	Media influence
AC9HC9S01	10745	Inquiry-based learning
AC9HC9S01	15059	Research questions
AC9HC9S02	4827	Evaluation
AC9HC9S02	4828	Data collection
AC9HC9S02	7111	Information literacy
AC9HC9S03	1404	Attitudes
AC9HC9S03	4586	Critical thinking
AC9HC9S03	4827	Evaluation
AC9HC9S03	786	Beliefs
AC9HC9S04	1404	Attitudes
AC9HC9S04	4586	Critical thinking
AC9HC9S04	4827	Evaluation
AC9HC9S04	786	Beliefs
AC9HC9S05	12259	Consensus
AC9HC9S05	16627	Action projects
AC9HC9S05	4115	Community development
AC9HC9S05	4587	Decision making
AC9HC9S05	4827	Evaluation
AC9HC9S05	576	Active citizenship
AC9HC9S06	13088	Referencing
AC9HC9S06	1656	Data representation
AC9HC9S06	3998	Word meanings
AC9HC9S06	4161	Creating texts
AC9HE10K01	2746	Business cycles
AC9HE10K01	3151	Economy
AC9HE10K01	4587	Decision making
AC9HE10K02	15447	Uneven development
AC9HE10K02	2746	Business cycles
AC9HE10K02	4119	Living standards
AC9HE10K02	4923	Government policy
AC9HE10K03	12031	Causality
AC9HE10K03	3287	Financial transactions
AC9HE10K03	4345	Consumer sovereignty
AC9HE10K03	4587	Decision making
AC9HE10K04	2867	Income
AC9HE10K04	3763	Circular income flow
AC9HE10K04	7054	Superannuation
AC9HE10K05	3002	Entrepreneurship
AC9HE10K05	3017	Planning
AC9HE10K05	6955	Human resource management
AC9HE10K05	8555	Productivity
AC9HE10S01	10745	Inquiry-based learning
AC9HE10S01	15059	Research questions
AC9HE10S02	1656	Data representation
AC9HE10S02	4828	Data collection
AC9HE10S02	7111	Information literacy
AC9HE10S03	12031	Causality
AC9HE10S03	4825	Data analysis
AC9HE10S03	6197	Trend analysis
AC9HE10S03	7608	Reasoning
AC9HE10S04	16576	Opportunity costs
AC9HE10S04	2802	Financial analysis
AC9HE10S04	4478	Cost-benefit analysis
AC9HE10S04	4556	Enterprise (Behaviour)
AC9HE10S04	4587	Decision making
AC9HE10S04	6068	Federal government
AC9HE10S04	7608	Reasoning
AC9HE10S05	13088	Referencing
AC9HE10S05	1656	Data representation
AC9HE10S05	3998	Word meanings
AC9HE10S05	4161	Creating texts
AC9HE7S01	10745	Inquiry-based learning
AC9HE7S01	15059	Research questions
AC9HE7S02	1656	Data representation
AC9HE7S02	4828	Data collection
AC9HE7S02	7111	Information literacy
AC9HE7S03	12031	Causality
AC9HE7S03	4825	Data analysis
AC9HE7S03	6197	Trend analysis
AC9HE7S03	7608	Reasoning
AC9HE7S04	16576	Opportunity costs
AC9HE7S04	4478	Cost-benefit analysis
AC9HE7S04	4556	Enterprise (Behaviour)
AC9HE7S04	4587	Decision making
AC9HE7S04	7608	Reasoning
AC9HE7S05	13088	Referencing
AC9HE7S05	1656	Data representation
AC9HE7S05	3998	Word meanings
AC9HE7S05	4161	Creating texts
AC9HE8K02	1731	Companies
AC9HE8K02	1802	Industries
AC9HE8K02	3002	Entrepreneurship
AC9HE8K02	4079	Production (Economics)
AC9HE8K02	5214	Labour market
AC9HE8K02	5707	Working conditions
AC9HE8K03	13164	Aboriginal and Torres Strait Islander peoples
AC9HE8K03	2994	Markets
AC9HE8K03	3002	Entrepreneurship
AC9HE8K04	3472	Social services
AC9HE8K04	4587	Decision making
AC9HE8K04	5134	Taxation
AC9HE8K05	1841	Financial records
AC9HE8K05	2058	Budgeting
AC9HE8K05	2802	Financial analysis
AC9HE8K05	2867	Income
AC9HE8K05	3017	Planning
AC9HE8K05	458	Financial reports
AC9HE8S01	10745	Inquiry-based learning
AC9HE8S01	15059	Research questions
AC9HE8S02	1656	Data representation
AC9HE8S02	4828	Data collection
AC9HE8S02	7111	Information literacy
AC9HE8S03	12031	Causality
AC9HE8S03	4825	Data analysis
AC9HE8S03	6197	Trend analysis
AC9HE8S03	7608	Reasoning
AC9HE8S04	16576	Opportunity costs
AC9HE8S04	4478	Cost-benefit analysis
AC9HE8S04	4556	Enterprise (Behaviour)
AC9HE8S04	4587	Decision making
AC9HE8S04	7608	Reasoning
AC9HE8S05	13088	Referencing
AC9HE8S05	1656	Data representation
AC9HE8S05	3998	Word meanings
AC9HE8S05	4161	Creating texts
AC9HE9K01	1849	Insurance
AC9HE9K01	2235	Financial institutions
AC9HE9K01	2801	Business forecasting
AC9HE9K01	3763	Circular income flow
AC9HE9K01	6058	Risk management
AC9HE9K02	13310	Supply chain
AC9HE9K02	3763	Circular income flow
AC9HE9K02	4681	Globalisation
AC9HE9K03	16594	Regional trade
AC9HE9K03	3763	Circular income flow
AC9HE9K03	4073	International trade
AC9HE9K03	4681	Globalisation
AC9HE9K03	5235	Domestic markets
AC9HE9K04	16526	Competitive advantage
AC9HE9K04	3002	Entrepreneurship
AC9HE9K04	3017	Planning
AC9HE9K04	4079	Production (Economics)
AC9HE9K04	5214	Labour market
AC9HE9K05	1849	Insurance
AC9HE9K05	2150	Bad debts
AC9HE9K05	2235	Financial institutions
AC9HE9K05	2875	Personal finance
AC9HE9K05	6058	Risk management
AC9HE9S01	10745	Inquiry-based learning
AC9HE9S01	15059	Research questions
AC9HE9S02	1656	Data representation
AC9HE9S02	4828	Data collection
AC9HE9S02	7111	Information literacy
AC9HE9S03	12031	Causality
AC9HE9S03	4825	Data analysis
AC9HE9S03	6197	Trend analysis
AC9HE9S03	7608	Reasoning
AC9HE9S04	16576	Opportunity costs
AC9HE9S04	2802	Financial analysis
AC9HE9S04	4478	Cost-benefit analysis
AC9HE9S04	4556	Enterprise (Behaviour)
AC9HE9S04	4587	Decision making
AC9HE9S04	6068	Federal government
AC9HE9S04	7608	Reasoning
AC9HE9S05	13088	Referencing
AC9HE9S05	1656	Data representation
AC9HE9S05	3998	Word meanings
AC9HE9S05	4161	Creating texts
AC9HG10K01	1049	Environmental sustainability
AC9HG10K01	2456	Biodiversity
AC9HG10K01	3856	Climate change
AC9HG10K01	5784	Human impact
AC9HG10K01	909	Pollution
AC9HG10K02	1404	Attitudes
AC9HG10K02	2459	Environmental management
AC9HG10K02	4319	Environmental stewardship
AC9HG10K03	13164	Aboriginal and Torres Strait Islander peoples
AC9HG10K03	1404	Attitudes
AC9HG10K03	2459	Environmental management
AC9HG10K03	280	Land custodianship
AC9HG10K03	4319	Environmental stewardship
AC9HG10K04	1050	Sustainable development
AC9HG10K04	2459	Environmental management
AC9HG10K04	3856	Climate change
AC9HG10K04	4309	Conservation (Environment)
AC9HG10K04	5491	Environmental impact
AC9HG10K04	5784	Human impact
AC9HG10K05	15428	Wellbeing
AC9HG10K05	4944	Human settlements
AC9HG10K05	7596	Social indicators
AC9HG10K06	15428	Wellbeing
AC9HG10K06	1812	Asia
AC9HG10K06	4520	Countries
AC9HG10K06	5028	Regional development
AC9HG10K06	7596	Social indicators
AC9HG10K07	13164	Aboriginal and Torres Strait Islander peoples
AC9HG10K07	15428	Wellbeing
AC9HG10K07	264	Communities
AC9HG10K07	7596	Social indicators
AC9HG10K07	9818	Australia
AC9HG10K08	1050	Sustainable development
AC9HG10K08	15384	Pacific Island peoples
AC9HG10K08	1812	Asia
AC9HG10K08	3472	Social services
AC9HG10K08	4941	Social equality
AC9HG10K08	5028	Regional development
AC9HG10K08	9818	Australia
AC9HG10S01	10745	Inquiry-based learning
AC9HG10S01	15059	Research questions
AC9HG10S02	10453	Fieldwork
AC9HG10S02	1656	Data representation
AC9HG10S02	1877	Maps (Geographic location)
AC9HG10S02	3260	Geographical information systems
AC9HG10S02	4828	Data collection
AC9HG10S03	12031	Causality
AC9HG10S03	3260	Geographical information systems
AC9HG10S03	4825	Data analysis
AC9HG10S03	7608	Reasoning
AC9HG10S04	4825	Data analysis
AC9HG10S04	4827	Evaluation
AC9HG10S04	7608	Reasoning
AC9HG10S05	16627	Action projects
AC9HG10S05	2459	Environmental management
AC9HG10S05	4115	Community development
AC9HG10S05	4587	Decision making
AC9HG10S05	576	Active citizenship
AC9HG10S05	5952	Environmental degradation
AC9HG10S06	13088	Referencing
AC9HG10S06	1656	Data representation
AC9HG10S06	2954	Evidence
AC9HG10S06	3998	Word meanings
AC9HG10S06	4161	Creating texts
AC9HG7K01	2469	Water cycle
AC9HG7K01	4944	Human settlements
AC9HG7K01	867	Water resources
AC9HG7K02	2315	Geographic location
AC9HG7K02	2459	Environmental management
AC9HG7K02	484	Rainfall
AC9HG7K02	5239	Water use
AC9HG7K02	867	Water resources
AC9HG7K02	9767	Water treatment
AC9HG7K03	13164	Aboriginal and Torres Strait Islander peoples
AC9HG7K03	15435	Sense of place
AC9HG7K03	1812	Asia
AC9HG7K03	4320	Natural heritage
AC9HG7K03	867	Water resources
AC9HG7K03	9818	Australia
AC9HG7K04	1072	Emergency services
AC9HG7K04	2459	Environmental management
AC9HG7K04	2603	Storms
AC9HG7K04	2981	Forest fires
AC9HG7K04	5366	Droughts
AC9HG7K04	6272	Floods
AC9HG7K05	1404	Attitudes
AC9HG7K05	15428	Wellbeing
AC9HG7K05	15435	Sense of place
AC9HG7K05	4587	Decision making
AC9HG7K05	4944	Human settlements
AC9HG7K05	909	Pollution
AC9HG7K06	15428	Wellbeing
AC9HG7K06	15435	Sense of place
AC9HG7K06	2315	Geographic location
AC9HG7K06	3472	Social services
AC9HG7K06	4944	Human settlements
AC9HG7K07	13164	Aboriginal and Torres Strait Islander peoples
AC9HG7K07	15428	Wellbeing
AC9HG7K07	15435	Sense of place
AC9HG7K07	264	Communities
AC9HG7K07	280	Land custodianship
AC9HG7K08	10902	Young adults
AC9HG7K08	1588	Urban planning
AC9HG7K08	2596	Disability
AC9HG7K08	4380	Europe
AC9HG7K08	669	Older adults
AC9HG7K08	9818	Australia
AC9HG7S01	10745	Inquiry-based learning
AC9HG7S01	15059	Research questions
AC9HG7S02	10453	Fieldwork
AC9HG7S02	1656	Data representation
AC9HG7S02	1877	Maps (Geographic location)
AC9HG7S02	3260	Geographical information systems
AC9HG7S02	4828	Data collection
AC9HG7S03	12031	Causality
AC9HG7S03	3260	Geographical information systems
AC9HG7S03	4825	Data analysis
AC9HG7S03	7608	Reasoning
AC9HG7S04	4825	Data analysis
AC9HG7S04	7608	Reasoning
AC9HG7S05	16627	Action projects
AC9HG7S05	2459	Environmental management
AC9HG7S05	4115	Community development
AC9HG7S05	4587	Decision making
AC9HG7S05	576	Active citizenship
AC9HG7S05	5952	Environmental degradation
AC9HG7S06	13088	Referencing
AC9HG7S06	1656	Data representation
AC9HG7S06	2954	Evidence
AC9HG7S06	3998	Word meanings
AC9HG7S06	4161	Creating texts
AC9HG8K01	15434	Sediment transport
AC9HG8K01	2077	Earth movements
AC9HG8K01	2079	Environmental hazards
AC9HG8K01	3343	Landforms
AC9HG8K01	3859	Weathering
AC9HG8K02	2315	Geographic location
AC9HG8K02	3343	Landforms
AC9HG8K02	9818	Australia
AC9HG8K03	13164	Aboriginal and Torres Strait Islander peoples
AC9HG8K03	15435	Sense of place
AC9HG8K03	1812	Asia
AC9HG8K03	3343	Landforms
AC9HG8K03	4320	Natural heritage
AC9HG8K04	1072	Emergency services
AC9HG8K04	2459	Environmental management
AC9HG8K04	3343	Landforms
AC9HG8K04	4320	Natural heritage
AC9HG8K04	5491	Environmental impact
AC9HG8K05	1072	Emergency services
AC9HG8K05	2079	Environmental hazards
AC9HG8K05	2459	Environmental management
AC9HG8K05	5443	Earthquakes
AC9HG8K05	5844	Volcanic eruptions
AC9HG8K06	15450	Urban areas
AC9HG8K06	1802	Industries
AC9HG8K06	4381	North America
AC9HG8K06	4947	Urbanisation
AC9HG8K06	5491	Environmental impact
AC9HG8K06	5784	Human impact
AC9HG8K07	15424	Population density (Society)
AC9HG8K07	15450	Urban areas
AC9HG8K07	4381	North America
AC9HG8K07	4947	Urbanisation
AC9HG8K07	5028	Regional development
AC9HG8K07	9818	Australia
AC9HG8K08	11595	Moving house
AC9HG8K08	1260	Migration
AC9HG8K08	15425	Population mobility
AC9HG8K08	1812	Asia
AC9HG8K08	8508	Population dynamics
AC9HG8K08	9818	Australia
AC9HG8K09	1049	Environmental sustainability
AC9HG8K09	1588	Urban planning
AC9HG8K09	9818	Australia
AC9HG8S01	10745	Inquiry-based learning
AC9HG8S01	15059	Research questions
AC9HG8S02	10453	Fieldwork
AC9HG8S02	1656	Data representation
AC9HG8S02	1877	Maps (Geographic location)
AC9HG8S02	3260	Geographical information systems
AC9HG8S02	4828	Data collection
AC9HG8S03	12031	Causality
AC9HG8S03	3260	Geographical information systems
AC9HG8S03	4825	Data analysis
AC9HG8S03	7608	Reasoning
AC9HG8S04	4825	Data analysis
AC9HG8S04	7608	Reasoning
AC9HG8S05	16627	Action projects
AC9HG8S05	2459	Environmental management
AC9HG8S05	4115	Community development
AC9HG8S05	4587	Decision making
AC9HG8S05	576	Active citizenship
AC9HG8S05	5952	Environmental degradation
AC9HG8S06	13088	Referencing
AC9HG8S06	1656	Data representation
AC9HG8S06	2954	Evidence
AC9HG8S06	3998	Word meanings
AC9HG8S06	4161	Creating texts
AC9HG9K01	11832	Distributions (Statistics)
AC9HG9K01	15398	Biomass (Ecosystems)
AC9HG9K01	15403	Crop yields
AC9HG9K01	2315	Geographic location
AC9HG9K01	2500	Climate
AC9HG9K01	5452	Soil
AC9HG9K01	8449	Vegetation
AC9HG9K02	4511	Fibres (Materials)
AC9HG9K02	5491	Environmental impact
AC9HG9K02	5784	Human impact
AC9HG9K02	826	Primary industry
AC9HG9K02	8449	Vegetation
AC9HG9K02	851	Food products
AC9HG9K03	1068	Environmental influences
AC9HG9K03	15403	Crop yields
AC9HG9K03	1812	Asia
AC9HG9K03	2510	Food technology
AC9HG9K03	9818	Australia
AC9HG9K04	1050	Sustainable development
AC9HG9K04	2459	Environmental management
AC9HG9K04	3856	Climate change
AC9HG9K04	488	Soil degradation
AC9HG9K04	6315	Food availability
AC9HG9K04	867	Water resources
AC9HG9K05	12110	Social networking
AC9HG9K05	15435	Sense of place
AC9HG9K05	2836	Telecommunications
AC9HG9K05	2969	Transport networks
AC9HG9K05	4681	Globalisation
AC9HG9K06	1050	Sustainable development
AC9HG9K06	2459	Environmental management
AC9HG9K06	4309	Conservation (Environment)
AC9HG9K06	5531	Tourism
AC9HG9K06	5930	Travel
AC9HG9K06	6940	Lifestyles
AC9HG9K07	2836	Telecommunications
AC9HG9K07	2969	Transport networks
AC9HG9K07	4681	Globalisation
AC9HG9K07	5197	Distribution (Marketing)
AC9HG9K08	1050	Sustainable development
AC9HG9K08	2459	Environmental management
AC9HG9K08	3933	Manufacturing processes
AC9HG9K08	4309	Conservation (Environment)
AC9HG9K08	5725	Energy use
AC9HG9K08	5784	Human impact
AC9HG9S01	10745	Inquiry-based learning
AC9HG9S01	15059	Research questions
AC9HG9S02	10453	Fieldwork
AC9HG9S02	1656	Data representation
AC9HG9S02	1877	Maps (Geographic location)
AC9HG9S02	3260	Geographical information systems
AC9HG9S02	4828	Data collection
AC9HG9S03	12031	Causality
AC9HG9S03	3260	Geographical information systems
